index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y
Page_2_43,42,https://ak1.ostkcdn.com/images/products/23159328/L28703360.jpg?imwidth=480&impolicy=medium,"Rgb(r=12, g=61, b=72)",0.5145644010931633,"Rgb(r=44, g=112, b=129)",0.48543559890683674
Page_2_44,43,https://ak1.ostkcdn.com/images/products/12731695/L19510042.jpg?imwidth=480&impolicy=medium,"Rgb(r=179, g=159, b=141)",0.5143885678474353,"Rgb(r=220, g=213, b=204)",0.48561143215256475
Page_2_45,44,https://ak1.ostkcdn.com/images/products/14606085/L21149620.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.7958656472172204,"Rgb(r=208, g=206, b=209)",0.20413435278277955
Page_2_46,45,https://ak1.ostkcdn.com/images/products/23143936/L28690092.jpg?imwidth=480&impolicy=medium,"Rgb(r=247, g=207, b=88)",0.6951437786762368,"Rgb(r=254, g=251, b=240)",0.3048562213237632
Page_2_47,46,https://ak1.ostkcdn.com/images/products/3503916/L11570187.jpg?imwidth=480&impolicy=medium,"Rgb(r=251, g=249, b=247)",0.8737206702163426,"Rgb(r=132, g=89, b=62)",0.1262793297836574
Page_2_48,47,https://ak1.ostkcdn.com/images/products/6624570/L14191184.jpg?imwidth=480&impolicy=medium,"Rgb(r=183, g=159, b=139)",0.5802252852261539,"Rgb(r=6, g=35, b=57)",0.4197747147738461
Page_2_49,48,https://ak1.ostkcdn.com/images/products/20525170/L26377325.jpg?imwidth=480&impolicy=medium,"Rgb(r=245, g=245, b=245)",0.7557977553684543,"Rgb(r=237, g=237, b=240)",0.24420224463154575
Page_2_50,49,https://ak1.ostkcdn.com/images/products/is/images/direct/66569bee50c35b18342a53e456610f269a8583c3/Classic-Glam-Beaded-Velvet-Solid-Decorative-Handmade-Throw-Pillow-Cover.jpg?imwidth=480&impolicy=medium,"Rgb(r=253, g=253, b=251)",0.8909229957805908,"Rgb(r=119, g=102, b=60)",0.10907700421940929
Page_2_51,50,https://ak1.ostkcdn.com/images/products/10359961/L17467881.jpg?imwidth=480&impolicy=medium,"Rgb(r=237, g=211, b=209)",0.7497356757622684,"Rgb(r=218, g=179, b=176)",0.2502643242377316
Page_2_52,51,https://ak1.ostkcdn.com/images/products/14369464/L20943648.jpg?imwidth=480&impolicy=medium,"Rgb(r=231, g=225, b=219)",0.5982628951146183,"Rgb(r=172, g=160, b=149)",0.4017371048853818
Page_2_53,52,https://ak1.ostkcdn.com/images/products/11766191/L18679807.jpg?imwidth=480&impolicy=medium,"Rgb(r=90, g=90, b=90)",0.5012468475596403,"Rgb(r=39, g=39, b=39)",0.4987531524403597
Page_2_54,53,https://ak1.ostkcdn.com/images/products/26856450/L32089240.jpg?imwidth=480&impolicy=medium,"Rgb(r=182, g=151, b=145)",0.7220635157029195,"Rgb(r=254, g=254, b=253)",0.27793648429708057
Page_2_55,54,https://ak1.ostkcdn.com/images/products/9549781/L16730565.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6742136367826452,"Rgb(r=104, g=103, b=64)",0.32578636321735477
Page_2_56,55,https://ak1.ostkcdn.com/images/products/11592781/L18532360.jpg?imwidth=480&impolicy=medium,"Rgb(r=26, g=44, b=33)",0.5662327404033565,"Rgb(r=254, g=254, b=254)",0.4337672595966435
Page_2_57,56,https://ak1.ostkcdn.com/images/products/11766129/L18679808.jpg?imwidth=480&impolicy=medium,"Rgb(r=90, g=90, b=90)",0.5012468475596403,"Rgb(r=39, g=39, b=39)",0.4987531524403597
Page_2_58,57,https://ak1.ostkcdn.com/images/products/27168145/L32368992.jpg?imwidth=480&impolicy=medium,"Rgb(r=100, g=95, b=94)",0.6629119437075288,"Rgb(r=156, g=155, b=153)",0.3370880562924712
Page_2_59,58,https://ak1.ostkcdn.com/images/products/10438327/L17535405.jpg?imwidth=480&impolicy=medium,"Rgb(r=17, g=38, b=57)",0.579670591222113,"Rgb(r=66, g=92, b=116)",0.4203294087778871
Page_2_60,59,https://ak1.ostkcdn.com/images/products/10995885/L18015790.jpg?imwidth=480&impolicy=medium,"Rgb(r=228, g=227, b=226)",0.9887968018295211,"Rgb(r=190, g=189, b=187)",0.011203198170478896
Page_3_1,0,https://ak1.ostkcdn.com/images/products/24158934/L29605801.jpg?imwidth=480&impolicy=medium,"Rgb(r=248, g=248, b=248)",0.5691726797113739,"Rgb(r=202, g=203, b=206)",0.43082732028862614
